Era	Name	Notes (Join The Discord If We Missed Anything)	Copy Length	File Date	Available Length	Quality	Link(s)
	Before The College Dropout	(06/08/1977) (Kanye West is born in Atlanta) (08/18/2002) (Kanye announces he signed to Roc-A-Fella)			Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the "Go Getters" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.		
Before The College Dropout	Demo Beat Tape	Beat tape from September 1997.	14:42	Sep 1997	Full	High Quality	https://pillows.su/f/250b3778deb71ec177986796b49b47f0
Before The College Dropout	2001 Beat CD 1	Beat CD from 2001, possibly made even earlier. Features 26 beats with some being released and some being repurposed into familiar songs. Given to rapper Hot Karl in 2001, who re-discovered it in his garage and leaked it online in 2011 as Hype Men Present: Kanye West's First Beats Disc 1.	1:08:49		Full	High Quality	https://pillows.su/f/14ce4d59e572866fb0c4af310ff5db04
Before The College Dropout	2001 Beat CD 2	Another beat CD from 2001, possibly made even earlier. Features 19 beats. Also given to rapper Hot Karl in 2001, who re-discovered it in his garage and leaked it online in 2011 as Hype Men Present: Kanye West's First Beats Disc 2.	48:15		Full	High Quality	https://pillows.su/f/2a3ea0802f4ff5a4595adc4c4fb19641
Before The College Dropout	2001 Demo Tape	Demo tape from 2001. Leaked in 2013 under the name The Prerequisite.	47:52	2001	Full	High Quality	https://pillows.su/f/fbb14a93b96f5f9d83423e63605630ab
	The College Dropout (I'm Good)	(08/18/2002) (Kanye announces he signed to Roc-A-Fella) (02/10/2004) (The College Dropout officially releases)			Following his signing to Roc-A-Fella Records, Kanye released his debut studio album, The College Dropout. It features string arrangements, choirs, and his signature soul sampling, frequently branded as "chipmunk soul" for its sped-up and high-pitched nature. Contrary to the popular gangster-persona lyrics at the time, his songs mostly revolved around themes of family, materialism, religion, and racism. The inspiration for finally making his music came when he was in a near-fatal car crash.		
The College Dropout	The College Dropout	A very early version of The College Dropout that is composed of 15 tracks and 2 bonus tracks. Most of the songs were taken off the project. Likely early/mid 2003, since only a few songs were worked on further and there are a lot of instrumental tracks. Most of these songs found its way into the fan mixtapes series The Freshmen Adjustment.	53:03	2003	Full	CD Quality	https://pillows.su/f/7d83f3b0f2310144892a50e114700329
The College Dropout	The College Dropout	Early copy leaked before the official release, featuring only 15 tracks.	56:03		Full	CD Quality	https://pillows.su/f/c7b210bd276cbf756c96c0e988e05f97
The College Dropout	The College Dropout	Entertainment Weekly review copy. Mostly the same as the release version. Has a longer intro, "All Falls Down" with Ms. Lauryn Hill on vocals, explicit "School Spirit", extended "I'll Fly Away", "Last Call" missing JAY-Z with a synth that was removed from final, and "We Don't Care (Reprise)" which is missing from the released version. Tagged.	1:19:09		Tagged	Lossless	https://archive.org/details/college-dropout-demo
	808s & Heartbreak	(09/11/2007) (Graduation officially releases) (11/24/2008) (808s & Heartbreak officially releases)			Following the death of his mother due to complications after cosmetic surgery, his relationship with fiancé Alexis Phifer finally ending for good, and a struggle to adapt to his celebrity status, Kanye felt emotionally drained and lost. Kanye dealt with his pain by channeling it into a sonically stripped-down album, one dominated by his use of the titular Roland TR-808 drum machine and Auto-Tune. This album significantly influenced future hip-hop music, having influenced Drake, Future, Travis Scott, and more.		
808s & Heartbreak	808s & Heartbreak	Early version of 808s & Heartbreak with differences in some track titles and the overall sound and mix of certain songs.	44:26	2008	Full	CD Quality	https://pillows.su/f/d85d5a81f6f076a56e828e9f81bf034b
	Good Ass Job (Winter Spring Summer Fall)	(11/24/2008) (808s & Heartbreak officially releases) (05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)			As far back as 2003, Kanye had planned a four-album series revolving around going to college, with Good Ass Job concluding the series. The death of his mother derailed this plan, with his fourth album becoming the somber 808s & Heartbreak. People still expected Good Ass Job to release, though, as Kanye's next album as late as early 2010. When the wake of the 2009 VMAs incident happened, it would cause Good Ass Job not to release. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. The cover included for this era is the original cover for the single "POWER."		
Good Ass Job	Good Ass Job	OG Filename: Good Ass Job beats for Kanye Instrumental copy zip for Good Ass Job that was lined up for the album. Has files ranging from 2008-2010, and was most likely finished on April 19th, 2010 as that's the most recent file. titled "Good Ass Job beats for Kanye" and it's the closest thing to an official copy of the album + one of the only folders with "Good Ass Job" in the name. Around February of 2009 they started working on "Good Ass Job" and brought some work over from 2008, with development really kicking in around April 2009. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. "Runaway", "So Appalled", "Hell Of A Life", and some others were made very early on. "Blame Game", "See Me Now" and "Lost In The World" were some of the last songs made/finished.	50:24	2010	Full	Lossless	https://pillows.su/f/1b4a90cfed943ff4ab6214866f56fe11
	My Beautiful Dark Twisted Fantasy (My Dark Twisted Fantasy)	(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy) (07/28/2010) (Kanye announces the album title is no longer Good Ass Job) (11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)			Conceived during West's self-imposed exile following the 2009 VMA incident and further influenced by his deteriorating relationship with model Amber Rose, My Beautiful Dark Twisted Fantasy is a genre-bending masterpiece that explores the darker sides of celebrity, fame, and love. With grand production that sounds like the natural evolution of all the albums that came before it, this is seen by many as Kanye's best album, even earning an extremely rare 10/10 rating from Pitchfork.		
My Beautiful Dark Twisted Fantasy	Record4Hype	OG Password: wewantmoney Full zip file leaked in 2010, but was password protected for 10 years, until after a number of posts by Maker reinvigorating interest, an anonymous 4chan user found the master password to be "wewantmoney". The day after it was cracked, multiple articles came out about it, some with interviews from people involved.	1:09:12	Jul 7, 2010	Tagged	High Quality	https://pillows.su/f/f9c2b22432b2daee3517b9d35c6643bd
	Yeezus (Thank God For Drugs, Nigger Cock)	(08/12/2011) (Watch The Throne (Deluxe) officially releases) (06/29/2012) (No I.D. says he's working on Kanye's latest solo album) (06/18/2013) (Yeezus officially releases)			Yeezus marked a complete reverse from the bombastic production that Kanye accomplished on My Beautiful Dark Twisted Fantasy. He swapped lush soul and anthemic hooks for splintering electro, acid house, and industrial force while packaging some of his most lewd and heart-crushing tales. Initially envisioned as Thank God For Drugs, a much larger project, Kanye would play the album for Rick Rubin, he later recalled listening to roughly 3-hours of unfinished material that seemed to need months worth of work - despite the release date being a month away. Kanye enlisted Rubin to refine and complete the project, finishing a majority of the songs just two days before release.		
Yeezus	Thank God For Drugs	May 2012 copy of the album, includes "Guilt Trip" as track 18.		May 2012	Rumored	Not Available	
Yeezus	Yeezus	OG Filename: yeezus001 March copy of the album, containing 15 tracks. 12 out of 15 tracks are currently leaked.		Mar 2013	Partial	CD Quality	Link Needed
Yeezus	Yeezus	An early version of the album, containing 15 tracks. It is unknown when exactly was this copy complied, but based of the fact that the latest dated song on the album is May 17, it was no earlier than that.	1:00:06	May 2013	OG File	CD Quality	https://pillows.su/f/ec218fd4aefd25fdc46a923f08cf6fda
	Yeezus 2 (Lost Yeezus, New Yeezus)	(06/18/2013) (Yeezus officially releases) (07/16/2014) (Kanye begins hosting recording sessions while staying in Mexico)			After Rick Rubin and Kanye West cut down Yeezus to the final ten tracks, Kanye still saw potential in much of the cut material. Thus, shortly after Yeezus was released, an EP of leftovers titled Lost Yeezus was already being teased. The project then evolved into a full-fledged album of mostly new material, with Yeezus 2 acting as a codename before they could choose the last name. This project would develop into So Help Me God as the songs evolved.		
Yeezus 2	Yeezus 2	Unordered copy of the album from November 11th, 2013. Earliest known copy of "LP7" as a whole.	30:00	Nov 11, 2013	OG File	Lossless	https://pillows.su/f/cadb91834c67008bd8214f7dfc39f80d
Yeezus 2	Yeezus 2	An early version of Yeezus 2 with more songs that would either appear on The Life Of Pablo or would become songs where Kanye is a feature. Includes a track that has Travis Scott.	36:35	Jan 12, 2014	OG File	Lossless	https://pillows.su/f/86dadef922b4b6c8d4cafa8407ab1b66
Yeezus 2	Yeezus 2	Copy of Yeezus 2 that is said to be from April 2014 and includes an early version of The Weeknd song "King Of The Fall".		Apr 2014	Rumored	Not Available	
Yeezus 2	YPM	A Spotify playlist created by CyHi the Prynce containing Yeezus 2 songs, titled "ypm". Track names are abbreviated. The acronym was said by REDACTED to be "Your Prayers Mattered", but there is no proof of this; it's more possible it was something like "Yeezus Paul McCartney". Leaked on July 22nd due to a $250 groupbuy.	18:38	2014	OG File	CD Quality	https://pillows.su/f/4b2bd0e7170e1f79d1604eda21110505
