Era	Name	Notes (Join the Discord if we missed anything)	Length	Release Date	Type	Streaming	Link(s)
To view only songs that are not on streaming, right-click the G column and click "Sort sheet A to Z"! Do NOT do this if you are an Editor!							
0 Album Track(s) 3 Single(s) 11 Feature(s) 57 Production 1 Other	Before The College Dropout	(06/08/1977) (Kanye West is born in Atlanta) (08/18/2002) (Kanye announces he signed to Roc-A-Fella)			Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the "Go Getters" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.		
Before The College Dropout	Raw Stylus - Believe In Me (E-Smoove Soul Mix) (feat. Kanye West)	First professional Kanye appearence. From Raw Stylus' album Pushing Against The Flow in 1995. Only on physical copies of the album. Features alternate production to below.	4:27	Nov 1, 1995	Feature	No	https://pillows.su/f/d494bef3ae164b748b88caf69d22ad54
Before The College Dropout	Raw Stylus - Believe In Me (E-Smoove Essence Mix) (feat. Kanye West)	First professional Kanye appearence. From Raw Stylus' album Pushing Against The Flow in 1995. Only on physical copies of the album.	4:31	Nov 14, 1995	Feature	No	https://pillows.su/f/fd3ae9379c244133a05ea11fbede2d56
Before The College Dropout	Peanut Butter - Blind Man's Masquerade (Radio Version) (prod. Kanye West)	Thought to be Kanye's first credited song as a producer. Released as a single on September 16th, 1996. Currently lost.	4:35	Sep 16, 1996	Production	No	Link Needed
Before The College Dropout	Grav - World Domination (prod. Kanye West)	Track 3 on the 1996 album Down to Earth.	3:47	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/3HvgUWSqJdUiLG9N3q0HfK?si=a8418b11c9194cda
Before The College Dropout	Grav - Sick Thoughts (prod. Kanye West)	Track 5 on the 1996 album Down to Earth.	3:47	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/3nBk5NLpzbkKOuNAdc2uSv?si=c2d00bd70da94149
Before The College Dropout	Grav - City To City (feat. Al Tariq & Lil Ray) (prod. Kanye West)	Track 6 on the 1996 album Down to Earth. Samples the song "Cyclops" by Eddie Henderson.	3:35	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/5zC1qaN7lVPMxoFsdELZ3c?si=56b30363c8ea4ecd
Before The College Dropout	Grav - Thought It Was On (feat. Liz Mercado) (prod. Kanye West)	Track 7 on the 1996 album Down to Earth. Features background vocals from Liz Mercado.	4:02	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/0xtMRbqRI0KnBxIZtYCkYJ?si=fee7998a402842e5
Before The College Dropout	Grav - Line For Line (feat. Kanye West, Seldom C, Sway & Rashaun) (prod. Kanye West)	Track 8 on the 1996 album Down to Earth. Features verses from Grav, Kanye, Seldom C, Sway & Rashaun.	4:22	Oct 11, 1996	Feature	Yes	https://open.spotify.com/track/3wbObcxAPWi4auqUtUKG5U?si=b49f4646b2ce419a
Before The College Dropout	Grav - Keep Movin' (feat. Antaye) (prod. Kanye West)	Track 10 on the 1996 album Down to Earth. Features additional vocals from Antaye.	3:26	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/0j1CQeKL4tzSi5z06WhxLy?si=402da960393e4078
Before The College Dropout	Grav - One Puff (prod. Kanye West)	Track 12 on the 1996 album Down to Earth.	3:47	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/4sIffi0lFECApGczGumsFt?si=7cf27c2b5a594087
Before The College Dropout	Grav - Down to Earth (prod. Kanye West & DJ Nu-Mark)	Track 13 on the 1996 album Down to Earth. Features scratches from DJ Nu-Mark.	2:59	Oct 11, 1996	Production	Yes	https://open.spotify.com/track/7FBBpUZbDB0QtjdnlyqQY0?si=31a616ab19f645fd
Before The College Dropout	Diddy - It's All About the Benjamins (feat. The LOX, Lil' Kim & The Notorious B.I.G.) (prod. Deric "D-Dot" Angelettie & Kanye West)	Track 10 on Diddy's 1997 album No Way Out. Features an uncredited vocal arrangement by Missy Elliott and featured a signature guitar hook played by Marc Solomon. 	2:60	Oct 12, 1996	Production	Yes	https://open.spotify.com/track/3GMR3hyv8BccozoebVMve3?si=934c4edc45c041e8
