Era	Name	Notes (Join the Discord to help fix any issues + help with dead links)	File Date	Leak Date	Full Length	BPM	Available Length	Quality	Link(s)
	Before The College Dropout	(06/08/1977) (Kanye West is born in Atlanta) (08/18/2002) (Kanye announces he signed to Roc-A-Fella)			Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the "Go Getters" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.				
	Instrumentals								
Before The College Dropout	Beat 1 (prod. Kanye West)	Track 1 from the September 1997 demo beat tape. Samples the song "The World Is a Ghetto" by George Benson and the Common vs. Kanye freestyle battle.			1:44	84	Full	High Quality	https://pillows.su/f/e58d5b75cf3272bb9e7114e5b604a3e1
Before The College Dropout	Beat 2 (prod. Kanye West) (City To City)	Track 2 from the September 1997 demo beat tape. Would later be given to Grav for the song "City To City", with the first few seconds of the instrumental missing from the final version.			1:22	89	Full	High Quality	https://pillows.su/f/9b66e3d35be6702c460c44767f6d0b18
Before The College Dropout	Beat 3 (prod. Kanye West)	Track 3 from the September 1997 demo beat tape. Samples the songs "The Infamous Prelude" by Mobb Deep and "Melodies of Love" by Joe Sample.			1:40	90	Full	High Quality	https://pillows.su/f/463d892713e9fb4dc1b582733e0ae728
Before The College Dropout	Beat 4 (prod. Kanye West) (Just You And I)	Track 4 from the September 1997 demo beat tape. An updated version of the instrumental would later be given to Mad Men for the song "Just You And I".			1:22	84	Full	High Quality	https://pillows.su/f/9f175df2290d52dd4ce347c29ac26329
Before The College Dropout	Beat 5 (prod. Kanye West)	Track 5 from the September 1997 demo beat tape. Samples the songs "Fly Fo Life" by Suga Free and "Guess You Didn't Know" by One Way.			1:53	83	Full	High Quality	https://pillows.su/f/1d515c99d0278c2ed30b2a1a4df5043a
Before The College Dropout	Beat 5 (prod. Kanye West) (We F'ed Up)	Beat made for "Takeover", in 2001. Was recorded over by J Dilla without Kanye knowing in 2003. Unknown if JAY-Z recorded for this.			1:09	93	Full	High Quality	https://pillows.su/f/5e4c5cfc64cc61b73fa581d9869b3cdd
Before The College Dropout	Beat 6 (prod. Kanye West) (What You Do To Me)	Track 6 from the September 1997 demo beat tape. An updated version of the instrumental for the Infamous Syndicate song "What You Do To Me".			1:37	93	Full	High Quality	https://pillows.su/f/0568db21804032bae9a5937618267493
Before The College Dropout	Beat 7 (prod. Kanye West)	Track 7 from the September 1997 demo beat tape. Samples the song "Here We Go" by Minnie Riperton.			1:53	87	Full	High Quality	https://pillows.su/f/bed65843ecc243887f78d33f48aca415
